state,city_council,meter_id,zone_id,longitude,latitude,rate_per_hour,hours_of_operation,payment_types,notes,state_full,city,suburb,rate_category,zone_type,curbside_type,street_type,max_stay_minutes,operating_days,enforcement_hours,tap_to_pay,coin_acceptor,solar_powered,free_after_hours,distance_to_cbd_km,bay_capacity_index,occupancy_pct,night_rate,daily_cap,revenue_score,installed_year,last_maintained,maintenance_status
VIC,Victorian Government,867C,Z-VIC-0011,144.9747887,-37.8095731,4.25,Mon–Sun 08:00–18:00,Yes,"Albert Street between Nicholson Street and Gisborne Street, approximately 2m NW of St Peters Vicarage, 473 Albert Street, EAST MELBOURNE VIC 3002",Victoria,Hobsons Bay,St Kilda,$4–8/hr,Smart Meter,Perpendicular,Collector,120,Mon–Sun,09:00–17:00,TRUE,FALSE,TRUE,FALSE,3.782041163,1.4,37.4,3.29,8.5,2.23,2019,9/14/2024,OK
VIC,Victorian Government,765B,Z-VIC-0012,144.9685954,-37.8276594,4.25,Mon–Sun 08:00–18:00,Yes,Wells Street between Grant Street and Miles Street,Victoria,Maribyrnong,South Yarra,$4–8/hr,Ticketed,Parallel,Local,180,Mon–Sat,08:00–18:00,TRUE,TRUE,TRUE,TRUE,7.005608515,0.72,46.5,2.45,12.75,1.42,2002,12/12/2024,OK
VIC,Victorian Government,766A,Z-VIC-0013,144.9687159,-37.828749,4.25,Mon–Sun 08:00–18:00,Yes,"Wells Street between Miles Street and Coventry Street, approximately 66m SE of 6-12 Miles Street, SOUTHBANK VIC 3006",Victoria,Yarra,Fitzroy,$4–8/hr,Smart Meter,Parallel,Local,120,Mon–Fri,07:00–19:00,TRUE,FALSE,TRUE,FALSE,4.637747518,0.8,77.4,2.5,8.5,2.63,2025,10/29/2024,OK
VIC,Victorian Government,757A,Z-VIC-0014,144.9645873,-37.8284894,4.25,Mon–Sun 08:00–18:00,Yes,"Moore Street between Miles Street and Kings Way, approximately 57m SW of Victorian College Of The Arts Secondary School, 55-65 Miles Street, SOUTHBANK VIC 3006",Victoria,Maribyrnong,Williamstown,$4–8/hr,Ticketed,Parallel,Collector,120,Mon–Fri,08:00–18:00,TRUE,TRUE,TRUE,TRUE,0.932322054,1,98,2.66,8.5,4.16,2016,6/1/2024,OK
VIC,Victorian Government,752B,Z-VIC-0015,144.9561701,-37.8277892,4.25,Mon–Sun 08:00–18:00,Yes,"Haig Street between Clarendon Street and West Gate Freeway, approximately 24m West of 65-71 Haig Street, SOUTHBANK VIC 3006",Victoria,Stonnington,Carlton,$4–8/hr,App-Only,Angle,Local,60,Mon–Sun,24/7,TRUE,TRUE,TRUE,FALSE,8.231317529,1.06,87.1,2.41,4.25,3.92,2016,4/15/2025,OK
VIC,Victorian Government,785B,Z-VIC-0016,144.9678544,-37.828702,4.25,Mon–Sun 08:00–18:00,Yes,"Miles Street between Wells Street and Dodds Street, approximately 31m SW of 6-12 Miles Street, SOUTHBANK VIC 3006",Victoria,Boroondara,Carlton,$4–8/hr,Smart Meter,Angle,Local,120,Mon–Fri,07:00–19:00,TRUE,TRUE,FALSE,TRUE,0.743363911,0.96,84.8,2.66,8.5,3.46,2025,2/20/2024,Overdue
VIC,Victorian Government,757B,Z-VIC-0017,144.9644792,-37.8283498,4.25,Mon–Sun 08:00–18:00,Yes,"Moore Street between Miles Street and Kings Way, approximately 62m West of Victorian College Of The Arts Secondary School, 55-65 Miles Street, SOUTHBANK VIC 3006",Victoria,Yarra,Southbank,$4–8/hr,App-Only,Parallel,Local,120,Mon–Fri,08:00–18:00,FALSE,FALSE,TRUE,TRUE,2.291157559,0.8,86.2,2.33,8.5,2.93,2022,5/26/2024,OK
VIC,Victorian Government,765F,Z-VIC-0018,144.9692902,-37.8259178,4.25,Mon–Sun 08:00–18:00,Yes,"Wells Street between Grant Street and Miles Street, approximately 60m East of Grant Street Reserve, 25-45 Grant Street, SOUTHBANK VIC 3006",Victoria,Hobsons Bay,St Kilda,$4–8/hr,Ticketed,Parallel,Local,30,Mon–Fri,08:00–18:00,TRUE,FALSE,TRUE,FALSE,3.229077172,0.92,44.5,3.36,4.25,1.74,2019,6/23/2024,OK
VIC,Victorian Government,750D,Z-VIC-0019,144.9551837,-37.8274161,4.25,Mon–Sun 08:00–18:00,Yes,"Whiteman Street between West Gate Freeway and Clarendon Street, approximately 53m East of Railway Revegetation Area, Rear 33 Meaden Street, SOUTHBANK VIC 3006",Victoria,Yarra,Docklands,$4–8/hr,App-Only,Parallel,Collector,120,Mon–Sat,07:00–19:00,FALSE,TRUE,FALSE,TRUE,6.190962021,1,41.9,2.42,8.5,1.78,2021,12/11/2023,Overdue
VIC,Victorian Government,920A,Z-VIC-0020,144.9428961,-37.8205362,4.25,Mon–Sun 08:00–18:00,Yes,"Seafarer Lane between Bourke Street and Collins Street, approximately 15m West of Gowrie @ The Harbour, 20 Seafarer Lane, DOCKLANDS VIC 3008",Victoria,Boroondara,Richmond,$4–8/hr,Pay-and-Display,Parallel,Collector,240,Mon–Sun,08:00–18:00,TRUE,TRUE,TRUE,FALSE,4.224748914,0.8,47.5,2.58,17,1.62,2016,2/25/2025,OK
VIC,Victorian Government,752C,Z-VIC-0021,144.9569733,-37.8270983,4.25,Mon–Sun 08:00–18:00,Yes,"Haig Street between Clarendon Street and West Gate Freeway, approximately 2m SE of Launch Housing Southbank, Launch Housing, 52-70 Haig Street, SOUTHBANK VIC 3006",Victoria,Maribyrnong,CBD,$4–8/hr,Pay-and-Display,Angle,Local,60,Mon–Fri,08:00–18:00,TRUE,TRUE,FALSE,FALSE,2.75135748,1.06,65.9,3.21,4.25,2.97,2023,11/11/2023,Overdue
VIC,Victorian Government,901B,Z-VIC-0022,144.9505883,-37.8196872,4.25,Mon–Sun 08:00–18:00,Yes,"Aurora Lane between Bourke Street and Collins Street, approximately 31m North of Part Ground & Mezzanine, 710 Collins Street, DOCKLANDS VIC 3008",Victoria,Melbourne,CBD,$4–8/hr,Ticketed,Perpendicular,Local,120,Mon–Sat,08:00–18:00,TRUE,TRUE,TRUE,FALSE,2.066320337,1.12,78.2,3.17,8.5,3.72,20246/8/2025,OK
VIC,Victorian Government,938A,Z-VIC-0023,144.9504141,-37.8214445,4.25,Mon–Sun 08:00–18:00,Yes,"Brentani Way between Village Street and Georgiana Street, approximately 3m NW of 15 Brentani Way, DOCKLANDS VIC 3008",Victoria,Yarra,Fitzroy,$4–8/hr,Pay-and-Display,Parallel,Local,60,Mon–Sat,24/7,TRUE,FALSE,TRUE,TRUE,5.569687544,0.88,58.3,2.27,4.25,2.18,2022,7/7/2025,OK
VIC,Victorian Government,908B,Z-VIC-0024,144.9478304,-37.8220578,4.25,Mon–Sun 08:00–18:00,Yes,"Harbour Esplanade between McCrae Street and Collins Street, approximately 37m South of Automotive Centre Of Excellence, 2-48 Harbour Esplanade, DOCKLANDS VIC 3008",Victoria,Hobsons Bay,Docklands,$4–8/hr,Ticketed,Parallel,Local,30,Mon–Fri,08:00–18:00,FALSE,FALSE,TRUE,FALSE,5.615294954,0.92,65.1,3.38,4.25,2.55,2023,6/28/2025,OK
VIC,Victorian Government,901A,Z-VIC-0025,144.9498896,-37.8187687,4.25,Mon–Sun 08:00–18:00,Yes,"Aurora Lane between Bourke Street and Collins Street, approximately 40m NW of Travelodge Hotel Melbourne Docklands, Travelodge Docklands, 66 Aurora Lane, DOCKLANDS VIC 3008",Victoria,Yarra,Carlton,$4–8/hr,Pay-and-Display,Parallel,Local,240,Mon–Sat,09:00–17:00,TRUE,TRUE,TRUE,FALSE,8.349764588,0.64,63.3,2.21,17,1.72,2017,10/4/2024,OK
VIC,Victorian Government,947D,Z-VIC-0026,144.9440267,-37.8211808,4.25,Mon–Sun 08:00–18:00,Yes,"Collins Street between Merchant Street and Bourke Street, approximately 7m SE of An Di Docklands, 854 Collins Street, DOCKLANDS VIC 3008",Victoria,Boroondara,South Yarra,$4–8/hr,App-Only,Angle,Collector,60,Mon–Sat,09:00–17:00,FALSE,FALSE,TRUE,FALSE,7.554269442,1.32,80.9,3.18,4.25,4.54,2022,10/13/2024,OK
VIC,Victorian Government,947C,Z-VIC-0027,144.94368,-37.8213103,4.25,Mon–Sun 08:00–18:00,Yes,"Collins Street between Merchant Street and Bourke Street, approximately 4m NE of Nourish-D, 859 Collins Street, DOCKLANDS VIC 3008",Victoria,Maribyrnong,Fitzroy,$4–8/hr,Pay-and-Display,Angle,Collector,120,Mon–Sun,08:00–18:00,TRUE,TRUE,TRUE,FALSE,2.503529378,1.2,64.9,3.45,8.5,3.31,2014,12/10/2023,Overdue
VIC,Victorian Government,947B,Z-VIC-0028,144.9436863,-37.8210993,4.25,Mon–Sun 08:00–18:00,Yes,"Collins Street between Merchant Street and Bourke Street, approximately 5m SE of Teeny Tiny Cafe, 858 Collins Street, DOCKLANDS VIC 3008",Victoria,Yarra,Williamstown,$4–8/hr,Ticketed,Parallel,Local,120,Mon–Sun,08:00–18:00,FALSE,FALSE,TRUE,FALSE,4.665789429,0.8,64.3,3.09,8.5,2.19,2013,11/12/2024,OK
VIC,Victorian Government,944B,Z-VIC-0029,144.9470394,-37.8212446,4.25,Mon–Sun 08:00–18:00,Yes,"Collins Street between Harbour Esplanade and Navigation Drive, approximately 25m West of Docklands Park, 1-91 Harbour Esplanade, DOCKLANDS VIC 3008",Victoria,Boroondara,Docklands,$4–8/hr,Ticketed,Angle,Collector,120,Mon–Fri,08:00–18:00,TRUE,FALSE,TRUE,FALSE,2.826733005,1.2,67.4,2.98,8.5,3.44,2025,12/8/2023,Overdue
VIC,Victorian Government,944A,Z-VIC-0030,144.946852,-37.8210702,4.25,Mon–Sun 08:00–18:00,Yes,"Collins Street between Harbour Esplanade and Navigation Drive, approximately 48m NW of Docklands Park, 1-91 Harbour Esplanade, DOCKLANDS VIC 3008",Victoria,Port Phillip,Footscray,$4–8/hr,Smart Meter,Angle,Local,120,Mon–Fri,08:00–18:00,TRUE,FALSE,TRUE,TRUE,4.273741958,0.96,65.4,3.39,8.5,2.67,2010,1/15/2024,Overdue
VIC,Victorian Government,940C,Z-VIC-0031,144.9514764,-37.8199502,4.25,Mon–Sun 08:00–18:00,Yes,"Approximately 4m North of Sergy Boy, Shop 1-2, 699 Collins Street, DOCKLANDS VIC 3008",Victoria,Stonnington,Richmond,$4–8/hr,Smart Meter,Angle,Collector,60,Mon–Sat,08:00–18:00,TRUE,FALSE,TRUE,FALSE,4.600249936,1.32,61.6,3.3,4.25,3.46,2022,8/13/2025,OK
VIC,Victorian Government,753C,Z-VIC-0032,144.9647934,-37.8235144,4.25,Mon–Sun 08:00–18:00,Yes,"Kavanagh Street between Southbank Boulevard and Power Street, approximately 71m North of State Coroner's Office, 65 Kavanagh Street, SOUTHBANK VIC 3006",Victoria,Maribyrnong,CBD,$4–8/hr,Ticketed,Angle,Local,30,Mon–Fri,07:00–19:00,TRUE,TRUE,TRUE,TRUE,6.436023046,1.1,74.7,3.44,4.25,3.49,2021,12/10/2024,OK
VIC,Victorian Government,774A,Z-VIC-0033,144.9711265,-37.8272642,4.25,Mon–Sun 08:00–18:00,Yes,"Intersection of St Kilda Road and Anzac Avenue, approximately 10m NE of Department Of Defence, Victoria Barracks Melbourne, 256-310 St Kilda Road, SOUTHBANK VIC 3006",Victoria,Yarra,Richmond,$4–8/hr,Pay-and-Display,Angle,Local,240,Mon–Sat,07:00–19:00,FALSE,FALSE,TRUE,FALSE,3.723975143,0.77,53.5,3.02,17,1.75,2022,3/25/2025,OK
VIC,Victorian Government,772A,Z-VIC-0034,144.9710215,-37.8263773,4.25,Mon–Sun 08:00–18:00,Yes,"St Kilda Road between Wadey Street and Anzac Avenue, approximately 61m South of Part Suite 1, Ground 250 St Kilda Road, SOUTHBANK VIC 3006",Victoria,Stonnington,St Kilda,$4–8/hr,Ticketed,Parallel,Local,60,Mon–Fri,09:00–17:00,TRUE,TRUE,TRUE,TRUE,3.209231121,0.88,63.2,2.89,4.25,2.36,2025,2/5/2024,Overdue
VIC,Victorian Government,950A,Z-VIC-0035,144.9421641,-37.8202019,4.25,Mon–Sun 08:00–18:00,Yes,"Bourke Street between Cumberland Street and Collins Street, approximately 8m SW of Golden Express Supermarket, 862 Bourke Street, DOCKLANDS VIC 3008",Victoria,Maribyrnong,St Kilda,$4–8/hr,Smart Meter,Angle,Collector,60,Mon–Fri,08:00–18:00,TRUE,FALSE,TRUE,FALSE,7.152483035,1.32,49.4,2.66,4.25,2.77,2024,9/5/2025,OK
VIC,Victorian Government,913A,Z-VIC-0036,144.9454443,-37.821019,4.25,Mon–Sun 08:00–18:00,Yes,"Karlsruhe Lane between Collins Street and Keera Way, approximately 26m SE of 21 Karlsruhe Lane, DOCKLANDS VIC 3008",Victoria,Boroondara,Footscray,$4–8/hr,App-Only,Angle,Local,120,Mon–Fri,08:00–18:00,TRUE,FALSE,TRUE,FALSE,1.647190672,0.96,64.5,3,8.5,2.63,2023,9/25/2024,OK
VIC,Victorian Government,912A,Z-VIC-0037,144.9459555,-37.8199679,4.25,Mon–Sun 08:00–18:00,Yes,"Navigation Drive between Bourke Street and Collins Street, approximately 60m East of 83 Geographe Street, DOCKLANDS VIC 3008",Victoria,Boroondara,Docklands,$4–8/hr,Ticketed,Angle,Local,60,Mon–Fri,09:00–17:00,TRUE,FALSE,TRUE,TRUE,0.2,1.06,46.1,3.51,4.25,2.08,2020,11/16/2024,OK
VIC,Victorian Government,668A,Z-VIC-0038,144.9683559,-37.8083865,4.25,Mon–Sun 08:00–18:00,Yes,"La Trobe Street between Exhibition Street and Russell Street, approximately 28m SE of 20 La Trobe Street, MELBOURNE VIC 3000",Victoria,Hobsons Bay,Southbank,$4–8/hr,Smart Meter,Parallel,Local,60,Mon–Sun,08:00–18:00,TRUE,TRUE,TRUE,TRUE,5.743407452,0.88,79.5,3.34,4.25,2.97,2024,11/3/2023,Overdue
VIC,Victorian Government,549B,Z-VIC-0039,144.9579984,-37.808621,4.25,Mon–Sun 08:00–18:00,Yes,"Queen Street between Franklin Street and Therry Street, approximately 9m North of Ground 422 Queen Street, MELBOURNE VIC 3000",Victoria,Melbourne,Richmond,$4–8/hr,App-Only,Angle,Arterial,60,Mon–Fri,09:00–17:00,FALSE,FALSE,FALSE,FALSE,5.42260352,1.58,44.3,3.68,4.25,2.97,2016,8/11/2025,OK
VIC,Victorian Government,128B,Z-VIC-0040,144.9493211,-37.8114723,4.25,Mon–Sun 08:00–18:00,Yes,"Batman Street between Adderley Street and Spencer Street, approximately 11m West of Part Ground 115 Batman Street, WEST MELBOURNE VIC 3003",Victoria,Melbourne,Southbank,$4–8/hr,Pay-and-Display,Parallel,Local,120,Mon–Sat,08:00–18:00,TRUE,TRUE,FALSE,FALSE,3.32156505,0.8,78.3,3.12,8.5,2.66,2024,1/6/2024,Overdue
VIC,Victorian Government,587A,Z-VIC-0041,144.950771,-37.8114065,4.25,Mon–Sun 08:00–18:00,Yes,"Spencer Street between Jeffcott Street and Batman Street, approximately 14m NW of Curtin House, 384 Spencer Street, WEST MELBOURNE VIC 3003",Victoria,Stonnington,Carlton,$4–8/hr,Pay-and-Display,Parallel,Collector,180,Mon–Sun,08:00–18:00,TRUE,FALSE,TRUE,FALSE,5.12139569,0.9,69,2.51,12.75,2.64,2011,11/14/2023,Overdue
VIC,Victorian Government,587B,Z-VIC-0042,144.9505609,-37.8115961,4.25,Mon–Sun 08:00–18:00,Yes,"Spencer Street between Jeffcott Street and Batman Street, approximately 3m NE of Ground 371 Spencer Street, WEST MELBOURNE VIC 3003",Victoria,Melbourne,Williamstown,$4–8/hr,Ticketed,Parallel,Collector,60,Mon–Sat,07:00–19:00,TRUE,FALSE,FALSE,FALSE,1.388468816,1.1,74.6,3.23,4.25,3.49,2021,7/25/2025,OK
VIC,Victorian Government,642A,Z-VIC-0043,144.970619,-37.8109903,4.25,Mon–Sun 08:00–18:00,Yes,"Little Bourke Street between Spring Street and Exhibition Street, approximately 26m SW of Secret Kitchen, 58 Little Bourke Street, MELBOURNE VIC 3000",Victoria,Hobsons Bay,Docklands,$4–8/hr,Pay-and-Display,Parallel,Local,120,Mon–Sun,07:00–19:00,TRUE,TRUE,TRUE,FALSE,4.66349762,0.8,36.7,3.58,8.5,1.25,2021,5/15/2025,OK
VIC,Victorian Government,535B,Z-VIC-0044,144.9610889,-37.8094616,4.25,Mon–Sun 08:00–18:00,Yes,"Elizabeth Street between Little La Trobe Street and A'Beckett Street, approximately 5m SW of Gotcha, Part 400 Elizabeth Street, MELBOURNE VIC 3000",Victoria,Melbourne,Footscray,$4–8/hr,Pay-and-Display,Parallel,Collector,120,Mon–Fri,24/7,TRUE,FALSE,TRUE,FALSE,4.995500054,1,22.3,3.34,8.5,0.95,2019,3/7/2025,OK
VIC,Victorian Government,579B,Z-VIC-0045,144.9548656,-37.8202893,4.25,Mon–Sun 08:00–18:00,Yes,"Spencer Street between Flinders Street and Flinders Lane, approximately 35m SW of Hotel Indigo Melbourne Flinders, 561-585 Flinders Lane, MELBOURNE VIC 3000",Victoria,Melbourne,Carlton,$4–8/hr,Pay-and-Display,Angle,Local,60,Mon–Sat,08:00–18:00,FALSE,TRUE,TRUE,FALSE,6.113674509,1.06,59.4,2.32,4.25,2.68,2014,8/25/2024,OK
VIC,Victorian Government,522A,Z-VIC-0046,144.9671068,-37.8103059,4.25,Mon–Sun 08:00–18:00,Yes,"Russell Street between Lonsdale Street and Little Lonsdale Street, approximately 3m West of Fishing Season, 260-262 Russell Street, MELBOURNE VIC 3000",Victoria,Yarra,Footscray,$4–8/hr,Smart Meter,Parallel,Collector,120,Mon–Fri,09:00–17:00,TRUE,TRUE,FALSE,FALSE,3.879105664,1,40,2.92,8.5,1.7,2025,11/24/2023,Overdue
VIC,Victorian Government,522B,Z-VIC-0047,144.96676,-37.8102038,4.25,Mon–Sun 08:00–18:00,Yes,"Russell Street between Lonsdale Street and Little Lonsdale Street, approximately 5m North of SBT Thai Grocer, 261-265 Russell Street, MELBOURNE VIC 3000",Victoria,Boroondara,Docklands,$4–8/hr,Smart Meter,Parallel,Collector,30,Mon–Sat,07:00–19:00,TRUE,TRUE,TRUE,FALSE,5.655106305,1.15,75.1,3.26,4.25,3.67,2024,1/17/2025,OK
VIC,Victorian Government,508A,Z-VIC-0048,144.971669,-37.8147763,4.25,Mon–Sun 08:00–18:00,Yes,"Exhibition Street between Flinders Lane and Collins Street, approximately 3m NE of Unit 1, Ground 49 Exhibition Street, MELBOURNE VIC 3000",Victoria,Melbourne,Footscray,$4–8/hr,Smart Meter,Parallel,Local,30,Mon–Fri,09:00–17:00,TRUE,FALSE,TRUE,TRUE,4.19845717,0.92,58.2,2.21,4.25,2.28,2021,11/18/2023,Overdue
VIC,Victorian Government,514B,Z-VIC-0049,144.9691514,-37.8086765,4.25,Mon–Sun 08:00–18:00,Yes,"Exhibition Street between Little Lonsdale Street and La Trobe Street, approximately 18m NW of Telstra Corporation Limited, Telstra Exhibition Exchange, 288-308 Exhibition Street, MELBOURNE VIC 3000",Victoria,Port Phillip,Fitzroy,$4–8/hr,Pay-and-Display,Parallel,Local,180,Mon–Sun,24/7,TRUE,FALSE,TRUE,FALSE,1.837885374,0.72,50.8,2.72,12.75,1.55,2020,12/9/2024,OK
VIC,Victorian Government,709A,Z-VIC-0050,144.9606375,-37.8253282,4.25,Mon–Sun 08:00–18:00,Yes,"City Road between Balston Street and Kings Way, approximately 28m SE of Kiosk 133 Queens Bridge Street, SOUTHBANK VIC 3006",Victoria,Maribyrnong,Footscray,$4–8/hr,Pay-and-Display,Parallel,Collector,60,Mon–Sun,08:00–18:00,FALSE,FALSE,TRUE,TRUE,5.586984705,1.1,59.7,2.8,4.25,2.79,2022,5/9/2025,OK
VIC,Victorian Government,709C,Z-VIC-0051,144.9615625,-37.8245429,4.25,Mon–Sun 08:00–18:00,Yes,"City Road between Power Street and Balston Street, approximately 8m NE of Great Asia World, 200 City Road, SOUTHBANK VIC 3006",Victoria,Boroondara,Footscray,$4–8/hr,Pay-and-Display,Parallel,Local,60,Mon–Sun,08:00–18:00,FALSE,FALSE,TRUE,TRUE,2.081860751,0.88,71.1,3.61,4.25,2.66,2023,10/1/2024,OK
VIC,Victorian Government,731A,Z-VIC-0052,144.9582192,-37.8262525,4.25,Mon–Sun 08:00–18:00,Yes,"Crown Casino Carpark, approximately 65m NE of 93-103 Clarendon Street, SOUTHBANK VIC 3006",Victoria,Yarra,St Kilda,$4–8/hr,Smart Meter,Parallel,Arterial,30,Mon–Sat,07:00–19:00,FALSE,FALSE,FALSE,FALSE,4.172074329,1.38,58.1,2.56,4.25,3.41,2017,2/9/2024,Overdue
VIC,Victorian Government,685A,Z-VIC-0053,144.9606017,-37.8068535,4.25,Mon–Sun 08:00–18:00,Yes,"Therry Street between Victoria Street and Elizabeth Street, approximately 9m SW of Central City Community Health Service, 20 Therry Street, MELBOURNE VIC 3000",Victoria,Stonnington,Southbank,$4–8/hr,Pay-and-Display,Parallel,Arterial,30,Mon–Fri,08:00–18:00,FALSE,TRUE,TRUE,FALSE,7.104079052,1.38,63.8,2.77,4.25,3.74,2025,5/27/2025,OK
VIC,Victorian Government,573B,Z-VIC-0054,144.9540723,-37.8131109,4.25,Mon–Sun 08:00–18:00,Yes,"King Street between Little Lonsdale Street and La Trobe Street, approximately 8m SE of William Angliss Institute Of Tafe, 311-315 King Street, MELBOURNE VIC 3000",Victoria,Boroondara,Richmond,$4–8/hr,Smart Meter,Angle,Collector,180,Mon–Sun,08:00–18:00,TRUE,TRUE,TRUE,FALSE,3.328753748,1.08,86.2,2.79,12.75,3.96,2025,1/19/2025,OK
VIC,Victorian Government,563C,Z-VIC-0055,144.955876,-37.8109065,4.25,Mon–Sun 08:00–18:00,Yes,"William Street between La Trobe Street and A'Beckett Street, approximately 3m NE of Flagstaff Lodge, Flagstaff Gardens, 309 William Street, WEST MELBOURNE VIC 3003",Victoria,Stonnington,Docklands,$4–8/hr,Smart Meter,Angle,Local,30,Mon–Sun,09:00–17:00,TRUE,FALSE,FALSE,TRUE,6.97124222,1.1,53.6,3.24,4.25,2.51,2016,6/2/2025,OK
